#File for Gnuplot.
#Pocet bunek v siti: 7500
#Variables: x y rho u v e p Ma
1.44	0.0986146	0.909909	0.850567	0.044762	1.71424	0.553675	0.922819
1.48	0.0998461	0.901464	0.856836	0.032647	1.69772	0.546531	0.930712
1.48	0.0998461	0.894019	0.861826	0.0202841	1.68284	0.540257	0.937236
1.52	0.0998461	0.887664	0.865431	0.00771734	1.66974	0.534919	0.94225
1.52	0.0998461	0.882498	0.867541	-0.00500371	1.6586	0.530596	0.945602
1.56	0.0986146	0.878625	0.868039	-0.0178227	1.64958	0.527368	0.947134
1.56	0.0986146	0.876151	0.866807	-0.0306759	1.64287	0.525323	0.946688
1.6	0.0961481	0.875181	0.863736	-0.0434914	1.63865	0.524546	0.944113
1.6	0.0961481	0.875808	0.85873	-0.0561895	1.6371	0.52512	0.939282
1.64	0.0924396	0.878113	0.851716	-0.0686832	1.63836	0.527115	0.932097
1.64	0.0924396	0.882148	0.842653	-0.0808797	1.64254	0.530586	0.922506
1.68	0.0874782	0.887932	0.831541	-0.0926831	1.6497	0.53556	0.910513
1.68	0.0874782	0.895445	0.818426	-0.103997	1.65983	0.542037	0.896186
1.72	0.0812494	0.904621	0.803401	-0.114729	1.67285	0.549979	0.879655
1.72	0.0812494	0.915351	0.786602	-0.124795	1.68859	0.55931	0.861107
1.76	0.0737347	0.927484	0.768202	-0.134119	1.70681	0.569921	0.84077
1.76	0.0737347	0.940838	0.74839	-0.142638	1.72724	0.581676	0.818896
1.8	0.0649111	0.955215	0.727357	-0.150299	1.74951	0.594419	0.795733
1.8	0.0649111	0.970415	0.705277	-0.157057	1.7733	0.607992	0.771499
1.84	0.054751	0.986248	0.68229	-0.162868	1.79825	0.622244	0.746365
1.84	0.054751	1.00255	0.658481	-0.167675	1.82406	0.637047	0.720425
1.88	0.0432216	1.01919	0.633868	-0.171389	1.85046	0.652298	0.693682
1.88	0.0432216	1.03604	0.608377	-0.173848	1.8772	0.667925	0.666007
1.92	0.0302845	1.05304	0.581785	-0.174723	1.904	0.683887	0.637059
1.92	0.0302845	1.07008	0.553597	-0.173317	1.93049	0.700178	0.606089
1.96	0.0158947	1.08715	0.522741	-0.168138	1.95614	0.716893	0.571502
1.96	0.0158947	1.1046	0.486879	-0.156102	1.98062	0.734497	0.529921
2	0	1.12455	0.4412	-0.131502	2.00668	0.755004	0.474861
2	0	1.21179	0.424497	-0.0880666	2.21266	0.839511	0.440211
2.04	0	1.22259	0.444186	-0.0553098	2.24764	0.850065	0.453687
2.04	0	1.2116	0.467136	-0.0337337	2.23076	0.83915	0.475629
2.08	0	1.1964	0.486588	-0.0204046	2.20212	0.824096	0.495939
2.08	0	1.18232	0.501961	-0.0125161	2.17448	0.810173	0.512649
2.12	0	1.17065	0.514	-0.00799279	2.15126	0.798632	0.526007
2.12	0	1.16135	0.523558	-0.00545202	2.13272	0.789413	0.536726
2.16	0	1.15399	0.531321	-0.00403194	2.11815	0.782102	0.545475
2.16	0	1.14813	0.53778	-0.00322264	2.10667	0.776258	0.552767
2.2	0	1.14341	0.543272	-0.00273589	2.09753	0.771515	0.558968
2.2	0	1.13953	0.548026	-0.00241562	2.09012	0.767598	0.564335
2.24	0	1.13629	0.552199	-0.0021809	2.084	0.764305	0.569044
2.24	0	1.13353	0.555901	-0.00199158	2.07888	0.761492	0.573219
2.28	0	1.13117	0.559211	-0.00182863	2.07451	0.759058	0.576953
2.28	0	1.12912	0.56219	-0.00168342	2.07076	0.756929	0.580313
2.32	0	1.12732	0.564883	-0.00155209	2.06749	0.755052	0.583352
2.32	0	1.12573	0.567329	-0.00143281	2.06463	0.753386	0.586112
2.36	0	1.12433	0.569557	-0.00132448	2.06211	0.751899	0.588628
2.36	0	1.12308	0.571594	-0.00122623	2.05988	0.750566	0.590929
2.4	0	1.12197	0.573461	-0.00113725	2.0579	0.749368	0.593038
2.4	0	1.12097	0.575177	-0.0010567	2.05615	0.748288	0.594978
2.44	0	1.12008	0.576757	-0.000983799	2.05458	0.747311	0.596765
2.44	0	1.11928	0.578216	-0.000917766	2.05317	0.746427	0.598416
2.48	0	1.11857	0.579566	-0.000857894	2.05192	0.745624	0.599944
2.48	0	1.11793	0.580817	-0.000803537	2.0508	0.744894	0.601361
2.52	0	1.11735	0.58198	-0.000754113	2.0498	0.744229	0.602678
2.52	0	1.11683	0.583062	-0.000709107	2.0489	0.743623	0.603904
2.56	0	1.11636	0.584071	-0.000668063	2.04809	0.74307	0.605048
2.56	0	1.11594	0.585014	-0.000630577	2.04737	0.742564	0.606117
2.6	0	1.11557	0.585896	-0.000596294	2.04672	0.742101	0.607118
2.6	0	1.11523	0.586724	-0.000564899	2.04615	0.741676	0.608057
2.64	0	1.11492	0.5875	-0.000536115	2.04563	0.741287	0.608938
2.64	0	1.11465	0.588231	-0.000509695	2.04517	0.74093	0.609768
2.68	0	1.1144	0.58892	-0.000485419	2.04475	0.740601	0.610551
2.68	0	1.11418	0.589571	-0.00046309	2.04439	0.740298	0.611289
2.72	0	1.11398	0.590186	-0.000442534	2.04406	0.74002	0.611988
2.72	0	1.11381	0.590769	-0.000423593	2.04377	0.739762	0.61265
2.76	0	1.11365	0.591322	-0.000406123	2.04351	0.739525	0.613279
2.76	0	1.11351	0.591848	-0.000389998	2.04328	0.739305	0.613877
